"","Y","Y2","FEM","AGE","EDU"
"734",800,801,0,50,12
"735",175,176,0,23,16
"736",500,501,0,53,16
"737",87.5,88.5,1,60,12
"738",175,176,0,38,16
"739",375,376,1,30,14
"740",87.5,88.5,1,27,16
"741",275,276,1,44,16
"742",1100,1101,0,46,18
"743",325,326,1,56,12
"744",900,901,0,49,16
"745",275,276,1,46,16
"746",325,326,0,60,12
"747",0,1,0,23,16
"748",275,276,1,43,12
"749",325,326,1,20,12
"750",175,176,0,64,12
"751",112.5,113.5,0,61,9
"752",0,1,1,46,12
"753",137.5,138.5,1,42,12
"754",137.5,138.5,1,45,12
"755",37.5,38.5,1,38,16
"756",375,376,0,35,12
"757",600,601,0,50,16
"758",375,376,0,40,12
"759",1300,1301,0,54,16
"760",375,376,0,49,12
"761",225,226,0,64,16
"762",225,226,1,64,9
"763",225,226,1,27,12
"764",137.5,138.5,1,56,12
"765",225,226,1,64,12
"766",137.5,138.5,1,25,14
"767",3500,3501,0,57,18
"768",500,501,0,45,12
"769",0,1,1,61,12
"770",112.5,113.5,1,27,16
"771",175,176,0,60,12
"772",137.5,138.5,1,47,12
"773",500,501,1,45,12
"774",25,26,1,27,16
"775",137.5,138.5,1,63,12
"776",425,426,0,26,16
"777",700,701,0,48,16
"778",87.5,88.5,1,56,14
"779",175,176,1,61,14
"780",112.5,113.5,1,58,14
"781",500,501,0,54,14
"782",62.5,63.5,1,32,12
"783",175,176,1,39,12
"784",700,701,0,38,16
"785",112.5,113.5,1,52,14
"786",375,376,0,26,12
"787",1100,1101,0,49,16
"788",1100,1101,0,51,16
"789",700,701,0,50,16
"790",175,176,1,31,12
"791",112.5,113.5,1,63,12
"792",500,501,1,31,12
"793",375,376,0,60,12
"794",225,226,1,54,12
"795",112.5,113.5,1,39,12
"796",700,701,0,39,16
"797",325,326,1,30,16
"798",87.5,88.5,1,53,12
"799",325,326,0,38,12
"800",325,326,1,50,14
"801",0,1,1,41,14
"802",275,276,1,22,16
"803",700,701,0,60,9
"804",225,226,1,50,12
"805",25,26,0,22,12
"806",500,501,0,57,12
"807",275,276,1,57,14
"808",137.5,138.5,1,53,14
"809",325,326,1,56,12
"810",0,1,1,34,16
"811",425,426,0,32,16
"812",137.5,138.5,0,61,9
"813",700,701,0,35,12
"814",500,501,0,52,9
"815",800,801,0,40,16
"816",225,226,1,55,9
"817",0,1,1,23,16
"818",275,276,0,38,9
"819",0,1,1,59,12
"820",175,176,1,55,14
"821",375,376,0,41,14
"822",87.5,88.5,1,36,14
"823",37.5,38.5,1,63,12
"824",25,26,0,61,12
"825",0,1,1,45,12
"826",0,1,1,35,16
"827",225,226,1,62,12
"828",600,601,0,36,16
"829",800,801,0,44,12
"830",87.5,88.5,1,58,12
"831",600,601,0,42,16
"832",375,376,1,37,19
"833",225,226,0,48,12
"834",0,1,1,39,12
"835",375,376,1,59,12
"836",112.5,113.5,1,37,14
"837",225,226,0,23,16
"838",87.5,88.5,1,55,12
"839",137.5,138.5,0,54,21
"840",137.5,138.5,0,64,12
"841",600,601,0,40,16
"842",2275,2276,0,61,16
"843",112.5,113.5,1,32,12
"844",137.5,138.5,1,64,12
"845",425,426,1,57,12
"846",325,326,0,37,14
"847",37.5,38.5,1,31,14
"848",325,326,1,33,14
"849",62.5,63.5,1,56,12
"850",425,426,0,55,12
"851",900,901,0,45,16
"852",87.5,88.5,0,22,16
"853",700,701,0,42,12
"854",1400,1401,1,61,9
"855",0,1,1,43,12
"856",175,176,1,26,18
"857",87.5,88.5,0,21,16
"858",112.5,113.5,1,58,14
"859",325,326,1,28,14
"860",425,426,0,24,12
"861",25,26,1,30,12
"862",25,26,1,63,14
"863",275,276,1,62,14
"864",375,376,0,23,16
"865",275,276,0,39,12
"866",112.5,113.5,1,27,12
"867",375,376,0,42,14
"868",275,276,1,54,12
"869",225,226,1,40,14
"870",175,176,1,61,12
"871",700,701,0,40,12
"872",500,501,0,42,12
"873",175,176,1,32,12
"874",375,376,0,27,16
"875",175,176,1,63,9
"876",275,276,1,26,16
"877",112.5,113.5,1,23,16
"878",137.5,138.5,1,54,12
"879",225,226,0,62,16
"880",375,376,0,62,12
"881",500,501,0,58,12
"882",87.5,88.5,1,41,12
"883",275,276,0,33,14
"884",0,1,1,47,12
"885",137.5,138.5,1,41,12
"886",0,1,1,50,16
"887",275,276,1,25,16
"888",0,1,0,60,12
"889",0,1,1,25,12
"890",87.5,88.5,1,48,12
"891",25,26,1,63,16
"892",225,226,1,48,14
"893",500,501,0,56,12
"894",37.5,38.5,1,41,12
"895",25,26,0,21,16
"896",325,326,1,35,14
"897",375,376,0,36,12
"898",112.5,113.5,1,63,14
"899",137.5,138.5,0,61,12
"900",37.5,38.5,1,40,12
"901",325,326,0,56,12
"902",225,226,0,52,14
"903",225,226,0,26,9
"904",600,601,0,58,12
"905",325,326,0,51,16
"906",425,426,0,21,12
"907",0,1,1,41,14
"908",87.5,88.5,1,61,12
"909",0,1,1,29,12
"910",700,701,0,40,12
"911",900,901,0,51,14
"912",112.5,113.5,1,42,12
"913",175,176,1,52,12
"914",175,176,0,50,12
"915",112.5,113.5,1,43,12
"916",325,326,0,34,14
"917",87.5,88.5,1,59,12
"918",0,1,0,20,12
"919",425,426,0,46,12
"920",500,501,0,61,16
"921",375,376,0,58,12
"922",325,326,1,47,14
"923",25,26,0,50,16
"924",62.5,63.5,1,55,12
"925",112.5,113.5,1,32,16
"926",0,1,1,39,16
"927",225,226,1,54,14
"928",500,501,1,39,16
"929",225,226,0,27,12
"930",600,601,1,51,12
"931",25,26,0,27,14
"932",275,276,0,47,12
"933",275,276,1,25,12
"934",500,501,1,48,14
"935",700,701,0,51,12
"936",175,176,0,34,12
"937",325,326,0,33,14
"938",600,601,0,57,12
"939",500,501,0,45,12
"940",800,801,0,64,12
"941",500,501,0,30,12
"942",112.5,113.5,0,63,12
"943",87.5,88.5,0,32,14
"944",325,326,1,40,12
"945",425,426,0,56,12
"946",275,276,0,25,16
"947",325,326,1,23,12
"948",275,276,1,39,14
"949",87.5,88.5,1,35,12
"950",600,601,0,39,16
"951",112.5,113.5,1,21,12
"952",800,801,0,58,16
"953",1600,1601,0,63,16
"954",700,701,0,50,12
"955",0,1,1,38,12
"956",500,501,0,64,18
"957",112.5,113.5,1,47,16
"958",800,801,1,52,16
"959",600,601,1,47,18
